Time,Temp,Pressure,KE,U,H(t),H(t)/N,U(t)/N,T(t)/N,time averaged values,,,Stdv T,,Stdv U/N,,STDV E/N,,Energy Drift
0,94.400176,1.173834,74.171792,-2.228354,71.943438,1.1241162188,-0.0348180313,1.15893425,<T>,112.541879259,329.1213971376,7.4484846319,0.0848277152,0.5210482696,1.22447315244852E-06,0.0010846373,0,0.0011694634
0.01,94.400706,1.173858,74.172208,-2.22877,71.943438,1.1241162188,-0.0348245313,1.15894075,<U/N>,-0.2564339476,329.1021672131,,0.0848315015,,1.22447315244852E-06,,0,
0.02,94.401589,1.173897,74.172902,-2.229463,71.943439,1.1241162344,-0.0348353594,1.1589515938,<H/N>,1.1252227779,329.0701306808,,0.0848378092,,1.22443857271931E-06,,1.38998084153741E-08,
0.03,94.402826,1.173953,74.173874,-2.230435,71.943439,1.1241162344,-0.0348505469,1.1589667813,<P>,1.458160103,329.0252531328,,0.0848466567,,1.22443857271931E-06,,1.38998084153741E-08,
0.04,94.404419,1.174024,74.175125,-2.231687,71.943438,1.1241162188,-0.0348701094,1.1589863281,,,328.9674646468,,0.0848580536,,1.22447315244852E-06,,0,
0.05,94.406368,1.174111,74.176657,-2.233218,71.943439,1.1241162344,-0.0348940313,1.1590102656,,,328.8967686253,,0.0848719913,,1.22443857271882E-06,,1.38998084153741E-08,
0.06,94.408675,1.174214,74.17847,-2.235031,71.943439,1.1241162344,-0.0349223594,1.1590385938,,,328.8130966986,,0.0848884976,,1.22443857271931E-06,,1.38998084153741E-08,
0.07,94.411343,1.174333,74.180566,-2.237127,71.943439,1.1241162344,-0.0349551094,1.1590713438,,,328.7163450389,,0.0849075825,,1.22443857271931E-06,,1.38998084153741E-08,
0.08,94.414371,1.174469,74.182945,-2.239506,71.943439,1.1241162344,-0.0349922813,1.1591085156,,,328.6065556801,,0.0849292469,,1.22443857271931E-06,,1.38998084153741E-08,
0.09,94.417764,1.17462,74.185611,-2.242172,71.943439,1.1241162344,-0.0350339375,1.1591501719,,,328.4835539215,,0.084953528,,1.22443857271931E-06,,1.38998084153741E-08,
0.1,94.421522,1.174788,74.188564,-2.245125,71.943439,1.1241162344,-0.0350800781,1.1591963125,,,328.3473471938,,0.0849804272,,1.22443857271931E-06,,1.38998084153741E-08,
0.11,94.425649,1.174973,74.191807,-2.248367,71.94344,1.12411625,-0.0351307344,1.1592469844,,,328.1977987971,,0.0850099638,,1.22440399347838E-06,,2.77996166087036E-08,
0.12,94.430147,1.175174,74.195341,-2.251901,71.94344,1.12411625,-0.0351859531,1.1593022031,,,328.0348454217,,0.0850421665,,1.22440399347838E-06,,2.77996166087036E-08,
0.13,94.435019,1.175392,74.199169,-2.255729,71.94344,1.12411625,-0.0352457656,1.1593620156,,,327.858388439,,0.0850770551,,1.22440399347838E-06,,2.77996166087036E-08,
0.14,94.440269,1.175626,74.203293,-2.259853,71.94344,1.12411625,-0.0353102031,1.1594264531,,,327.6682939687,,0.0851146495,,1.22440399347838E-06,,2.77996166087036E-08,
0.15,94.445899,1.175878,74.207717,-2.264277,71.94344,1.12411625,-0.0353793281,1.1594955781,,,327.4645015341,,0.0851549879,,1.22440399347789E-06,,2.77996168307482E-08,
0.16,94.451914,1.176146,74.212443,-2.269002,71.943441,1.1241162656,-0.0354531563,1.1595694219,,,327.2468430718,,0.0851980814,,1.22436941472574E-06,,4.16994250240776E-08,
0.17,94.458316,1.176432,74.217474,-2.274033,71.943441,1.1241162656,-0.0355317656,1.1596480313,,,327.0152601423,,0.0852439777,,1.22436941472574E-06,,4.16994250240776E-08,
0.18,94.465112,1.176736,74.222813,-2.279372,71.943441,1.1241162656,-0.0356151875,1.1597314531,,,326.7695145361,,0.0852926973,,1.22436941472524E-06,,4.16994250240776E-08,
0.19,94.472304,1.177057,74.228464,-2.285022,71.943442,1.1241162813,-0.0357034688,1.15981975,,,326.5095500407,,0.08534427,,1.22433483646088E-06,,5.55992334394517E-08,
0.2,94.479897,1.177396,74.23443,-2.290988,71.943442,1.1241162813,-0.0357966875,1.1599129688,,,326.2352031244,,0.0853987441,,1.22433483646088E-06,,5.55992334394517E-08,
0.21,94.487897,1.177754,74.240715,-2.297273,71.943442,1.1241162813,-0.0358948906,1.1600111719,,,325.9462754083,,0.0854561497,,1.22433483646137E-06,,5.55992332174071E-08,
0.22,94.496308,1.178129,74.247324,-2.303882,71.943442,1.1241162813,-0.0359981563,1.1601144375,,,325.6426420636,,0.0855165354,,1.22433483646088E-06,,5.55992334394517E-08,
0.23,94.505136,1.178523,74.254261,-2.310818,71.943443,1.1241162969,-0.0361065313,1.1602228281,,,325.3241073911,,0.0855799318,,1.22430025868479E-06,,6.94990418548258E-08,
0.24,94.514387,1.178936,74.26153,-2.318086,71.943444,1.1241163125,-0.0362200938,1.1603364063,,,324.9904771483,,0.0856463879,,1.22426568139699E-06,,8.33988500481553E-08,
0.25,94.524067,1.179368,74.269135,-2.325692,71.943443,1.1241162969,-0.0363389375,1.1604552344,,,324.6415586006,,0.0857159622,,1.22430025868479E-06,,6.94990418548258E-08,
0.26,94.534275,1.179592,74.277156,-2.328297,71.948859,1.1242009219,-0.0363796406,1.1605805625,,,324.2738111488,,0.0857397974,,1.04418973582867E-06,,7.5350861047152E-05,
0.27,94.545106,1.179839,74.285666,-2.331304,71.954362,1.1242869063,-0.036426625,1.1607135313,,,323.8838477359,,0.085767315,,8.75855745273469E-07,,0.0001518415,
0.28,94.556469,1.180346,74.294594,-2.340231,71.954363,1.1242869219,-0.0365661094,1.1608530313,,,323.4749821845,,0.0858490334,,8.7582649952862E-07,,0.0001518554,
0.29,94.568445,1.180414,74.304004,-2.338745,71.965259,1.1244571719,-0.0365428906,1.1610000625,,,323.0443390626,,0.0858354277,,5.86152585516094E-07,,0.0003033077,
0.3,94.581038,1.180975,74.313898,-2.348639,71.965259,1.1244571719,-0.0366974844,1.1611546563,,,322.591818731,,0.0859260364,,5.86152585516434E-07,,0.0003033077,
0.31,94.594084,1.181557,74.324149,-2.358889,71.96526,1.1244571875,-0.0368576406,1.1613148281,,,322.123354659,,0.0860199557,,5.86128660572014E-07,,0.0003033216,
0.32,94.60767,1.181929,74.334823,-2.364098,71.970725,1.1245425781,-0.0369390313,1.1614816094,,,321.6358617456,,0.0860677047,,4.62671733909901E-07,,0.0003792841,
0.33,94.621881,1.18233,74.345989,-2.369825,71.976164,1.1246275625,-0.0370285156,1.1616560781,,,321.1263376026,,0.0861202173,,3.54281372397112E-07,,0.0004548851,
0.34,94.636798,1.182527,74.35771,-2.37063,71.98708,1.124798125,-0.0370410938,1.1618392188,,,320.5919348914,,0.0861275999,,1.80330085478448E-07,,0.0006066154,
0.35,94.652492,1.182762,74.37004,-2.372109,71.997931,1.1249676719,-0.0370642031,1.162031875,,,320.0301765025,,0.0861411645,,6.50790839911909E-08,,0.0007574423,
0.36,94.668815,1.18349,74.382866,-2.384934,71.997932,1.1249676875,-0.0372645938,1.1622322813,,,319.4464260063,,0.0862588332,,6.50711121720704E-08,,0.0007574562,
0.37,94.685701,1.184008,74.396133,-2.392741,72.003392,1.125053,-0.0373865781,1.1624395781,,,318.8431020172,,0.0863305013,,2.88245353283538E-08,,0.0008333491,
0.38,94.703358,1.184096,74.410007,-2.390303,72.019704,1.125307875,-0.0373484844,1.1626563594,,,318.2128407078,,0.0863081173,,7.24151642839829E-09,,0.0010600828,
0.39,94.721979,1.183989,74.424638,-2.383079,72.041559,1.1256493594,-0.0372356094,1.1628849688,,,317.5488452407,,0.0862418087,,0.000000182,,0.0013638631,
0.4,94.741367,1.184853,74.439871,-2.398312,72.041559,1.1256493594,-0.037473625,1.1631229844,,,316.8582366828,,0.0863816612,,0.000000182,,0.0013638631,
0.41,94.761351,1.185508,74.455573,-2.408538,72.047035,1.1257349219,-0.0376334063,1.1633683281,,,316.1471851691,,0.0864756086,,2.6229145112879E-07,,0.0014399784,
0.42,94.782002,1.186192,74.471799,-2.419267,72.052532,1.1258208125,-0.0378010469,1.1636218594,,,315.4132402547,,0.086574232,,3.57645382797249E-07,,0.0015163857,
0.43,94.803319,1.186905,74.488548,-2.430513,72.058035,1.1259067969,-0.0379767656,1.1638835625,,,314.6565200622,,0.0866776681,,4.67881958159945E-07,,0.0015928763,
0.44,94.825315,1.18765,74.505831,-2.442325,72.063506,1.1259922813,-0.0381613281,1.1641536094,,,313.8766491433,,0.0867863765,,5.92135405661445E-07,,0.0016689222,
0.45,94.848007,1.188427,74.52366,-2.454736,72.068924,1.1260769375,-0.03835525,1.1644321875,,,313.0731155178,,0.086900671,,7.29588622272565E-07,,0.0017442314,
0.46,94.871409,1.189232,74.542047,-2.467618,72.074429,1.1261629531,-0.0385565313,1.1647194844,,,312.2455191742,,0.0870193826,,8.83929453703812E-07,,0.0018207498,
0.47,94.895475,1.190302,74.560956,-2.486525,72.074431,1.1261629844,-0.0388519531,1.1650149375,,,311.3955832721,,0.0871937632,,0.000000884,,0.0018207776,
0.48,94.920221,1.191169,74.5804,-2.500525,72.079875,1.1262480469,-0.0390707031,1.16531875,,,310.522839797,,0.0873229986,,1.05117647109776E-06,,0.0018964482,
0.49,94.945717,1.192067,74.600433,-2.515094,72.085339,1.1263334219,-0.0392983438,1.1656317656,,,309.6249262451,,0.0874575881,,1.23353003920366E-06,,0.0019723967,
0.5,94.972087,1.193236,74.621152,-2.53576,72.085392,1.12633425,-0.03962125,1.1659555,,,308.6976000244,,0.08764868,,1.23537022907856E-06,,0.0019731334,
0.51,94.99962,1.193753,74.642785,-2.540948,72.101837,1.1265912031,-0.0397023125,1.1662935156,,,307.73085991,,0.0876966845,,1.87258759641667E-06,,0.0022017157,
0.52,95.028227,1.194789,74.665262,-2.557988,72.107274,1.1266761563,-0.0399685625,1.1666447188,,,306.7280154492,,0.087854448,,2.11230862824914E-06,,0.002277289,
0.53,95.057727,1.19563,74.68844,-2.570242,72.118198,1.1268468438,-0.0401600313,1.167006875,,,305.6955802159,,0.0879679883,,2.63758988513684E-06,,0.0024291305,
0.54,95.088141,1.196744,74.712337,-2.588688,72.123649,1.1269320156,-0.04044825,1.1673802656,,,304.6329792137,,0.0881390393,,2.92149360056348E-06,,0.0025048984,
0.55,95.119427,1.197896,74.736919,-2.607797,72.129122,1.1270175313,-0.0407468281,1.1677643594,,,303.5418427171,,0.0883164135,,3.22113958733626E-06,,0.002580972,
0.56,95.151707,1.198621,74.762282,-2.616717,72.145565,1.1272744531,-0.0408862031,1.1681606563,,,302.4180911977,,0.088399272,,4.20937122887946E-06,,0.0028095266,
0.57,95.185006,1.19986,74.788446,-2.63742,72.151026,1.1273597813,-0.0412096875,1.1685694688,,,301.261049329,,0.0885917335,,4.56678331791075E-06,,0.0028854334,
0.58,95.219427,1.201618,74.815491,-2.669957,72.145534,1.1272739688,-0.0417180781,1.1689920469,,,300.0673522653,,0.0888946304,,4.20738390312393E-06,,0.0028090957,
0.59,95.255009,1.202958,74.843448,-2.692461,72.150987,1.1273591719,-0.0420697031,1.169428875,,,298.8358833515,,0.0891044295,,4.56417921641671E-06,,0.0028848913,
0.6,95.291616,1.204339,74.872211,-2.715722,72.156489,1.1274451406,-0.0424331563,1.1698782969,,,297.5715825048,,0.0893215458,,4.93889608146935E-06,,0.0029613681,
0.61,95.329314,1.206237,74.901831,-2.750811,72.15102,1.1273596875,-0.0429814219,1.1703411094,,,296.2724027953,,0.0896495635,,4.5663826385727E-06,,0.00288535,
0.62,95.368089,1.207947,74.932297,-2.781274,72.151023,1.1273597344,-0.0434574063,1.1708171406,,,294.9390718601,,0.0899348241,,4.5665829760454E-06,,0.0028853917,
0.63,95.407896,1.209701,74.963574,-2.812549,72.151025,1.1273597656,-0.0439460781,1.1713058438,,,293.5733823197,,0.0902281599,,4.56671653680037E-06,,0.0028854195,
0.64,95.448776,1.2115,74.995694,-2.844666,72.151028,1.1273598125,-0.0444479063,1.1718077188,,,292.1741790228,,0.09052989,,4.5669168815973E-06,,0.0028854612,
0.65,95.490877,1.213351,75.028774,-2.877723,72.151051,1.1273601719,-0.0449644219,1.1723245938,,,290.7366780364,,0.0908409771,,4.56845300436635E-06,,0.0028857809,
0.66,95.534245,1.215256,75.062848,-2.911794,72.151054,1.1273602188,-0.0454967813,1.172857,,,289.2596230879,,0.091162165,,4.56865338724922E-06,,0.0028858226,
0.67,95.578914,1.217216,75.097946,-2.946906,72.15104,1.12736,-0.0460454063,1.1734054063,,,287.742190378,,0.0914937595,,4.56771830472842E-06,,0.002885628,
0.68,95.624932,1.219233,75.134103,-2.98306,72.151043,1.1273600469,-0.0466103125,1.1739703594,,,286.1831045638,,0.0918358236,,4.567918671498E-06,,0.0028856697,
0.69,95.672392,1.221073,75.171393,-3.014831,72.156562,1.1274462813,-0.0471067344,1.1745530156,,,284.5796003816,,0.0921369456,,0.000004944,,0.0029623828,
0.7,95.721416,1.223449,75.209912,-3.058765,72.151147,1.1273616719,-0.0477932031,1.175154875,,,282.9279842474,,0.0925541592,,4.57486743629225E-06,,0.0028871153,
0.71,95.771988,1.22589,75.249647,-3.103947,72.1457,1.1272765625,-0.0484991719,1.1757757344,,,281.2292528387,,0.0929842074,,0.000004218,,0.002811403,
0.72,95.824097,1.228161,75.29059,-3.144886,72.145704,1.127276625,-0.0491388438,1.1764154688,,,279.4842436593,,0.0933747308,,4.21828791017843E-06,,0.0028114586,
0.73,95.8778,1.230733,75.332786,-3.192575,72.140211,1.1271907969,-0.0498839844,1.1770747813,,,277.6915375502,,0.0938306754,,3.87309868595999E-06,,0.002735107,
0.74,95.933277,1.233142,75.376375,-3.236169,72.140206,1.1271907188,-0.0505651406,1.1777558594,,,275.8456689977,,0.0942484402,,3.87279118909857E-06,,0.0027350375,
0.75,95.990597,1.23586,75.421412,-3.286642,72.13477,1.1271057813,-0.0513537813,1.1784595625,,,273.9449444171,,0.094733286,,3.54570161611173E-06,,0.0026594781,
0.76,96.04985,1.238891,75.467968,-3.344082,72.123886,1.1269357188,-0.0522512813,1.179187,,,271.9870290797,,0.0952865705,,2.93416635559895E-06,,0.0025081926,
0.77,96.111047,1.241532,75.516052,-3.392161,72.123891,1.1269357969,-0.0530025156,1.1799383125,,,269.9722487234,,0.0957509248,,2.93443400871036E-06,,0.0025082621,
0.78,96.174205,1.244488,75.565676,-3.447269,72.118407,1.1268501094,-0.0538635781,1.1807136875,,,267.9007606487,,0.0962845545,,2.64820772952547E-06,,0.0024320356,
