Time,Temp,Pressure,KE,U,H(t),H(t)/N,U(t)/N,T(t)/N,time averaged values,,,Stdv T,,Stdv U/N,,STDV E/N,,
0,94.400002,1.173827,74.171655,-2.228217,71.943438,1.1241162188,-0.0348158906,1.1589321094,<T>,114.9595388717,422.6945563788,6.7146211579,0.0634087831,0.1011076836,3.5377318129564E-07,0.0017422938,0,0.0381348545
0.001,94.40001,1.173827,74.171661,-2.228223,71.943438,1.1241162188,-0.0348159844,1.1589322031,<U/N>,-0.2866268974,422.6942274263,,0.0634087359,,3.5377318129564E-07,,0,
0.002,94.400021,1.173827,74.17167,-2.228232,71.943438,1.1241162188,-0.034816125,1.1589323438,<H/N>,1.1247110071,422.6937751168,,0.0634086651,,3.5377318129564E-07,,0,
0.003,94.400038,1.173828,74.171683,-2.228245,71.943438,1.1241162188,-0.0348163281,1.1589325469,<P>,1.5398367458,422.6930760934,,0.0634085628,,3.5377318129564E-07,,0,
0.004,94.40006,1.173829,74.1717,-2.228262,71.943438,1.1241162188,-0.0348165938,1.1589328125,,,422.6921714759,,0.063408429,,3.5377318129564E-07,,0,
0.005,94.400086,1.17383,74.171721,-2.228283,71.943438,1.1241162188,-0.0348169219,1.1589331406,,,422.6911023837,,0.0634082638,,3.5377318129564E-07,,0,
0.006,94.400117,1.173832,74.171745,-2.228307,71.943438,1.1241162188,-0.0348172969,1.1589335156,,,422.6898276985,,0.0634080749,,3.5377318129564E-07,,0,
0.007,94.400153,1.173833,74.171773,-2.228335,71.943438,1.1241162188,-0.0348177344,1.1589339531,,,422.6883474215,,0.0634078546,,3.5377318129564E-07,,0,
0.008,94.400193,1.173835,74.171805,-2.228367,71.943438,1.1241162188,-0.0348182344,1.1589344531,,,422.6867026722,,0.0634076028,,3.5377318129564E-07,,0,
0.009,94.400238,1.173837,74.171841,-2.228403,71.943438,1.1241162188,-0.0348187969,1.1589350156,,,422.6848523331,,0.0634073195,,3.5377318129564E-07,,0,
0.01,94.400288,1.173839,74.17188,-2.228442,71.943438,1.1241162188,-0.0348194063,1.158935625,,,422.6827964055,,0.0634070126,,3.5377318129564E-07,,0,
0.011,94.400343,1.173842,74.171923,-2.228485,71.943438,1.1241162188,-0.0348200781,1.1589362969,,,422.6805348909,,0.0634066742,,3.5377318129564E-07,,0,
0.012,94.400403,1.173844,74.17197,-2.228532,71.943438,1.1241162188,-0.0348208125,1.1589370313,,,422.678067791,,0.0634063044,,3.5377318129564E-07,,0,
0.013,94.400467,1.173847,74.172021,-2.228582,71.943439,1.1241162344,-0.0348215938,1.1589378281,,,422.6754362257,,0.0634059109,,3.5375459440389E-07,,1.38998084153741E-08,
0.014,94.400537,1.17385,74.172075,-2.228637,71.943438,1.1241162188,-0.0348224531,1.1589386719,,,422.6725579606,,0.0634054782,,3.5377318129564E-07,,0,
0.015,94.40061,1.173854,74.172133,-2.228695,71.943438,1.1241162188,-0.0348233594,1.1589395781,,,422.6695563516,,0.0634050218,,3.5377318129564E-07,,0,
0.016,94.400689,1.173857,74.172195,-2.228757,71.943438,1.1241162188,-0.0348243281,1.1589405469,,,422.6663080471,,0.0634045339,,3.5377318129564E-07,,0,
0.017,94.400773,1.173861,74.172261,-2.228822,71.943439,1.1241162344,-0.0348253438,1.1589415781,,,422.6628541674,,0.0634040224,,3.53754594403626E-07,,1.38998084153741E-08,
0.018,94.400861,1.173865,74.17233,-2.228892,71.943438,1.1241162188,-0.0348264375,1.1589426563,,,422.6592358323,,0.0634034716,,3.5377318129564E-07,,0,
0.019,94.400954,1.173869,74.172403,-2.228965,71.943438,1.1241162188,-0.0348275781,1.1589437969,,,422.6554119269,,0.0634028972,,3.5377318129564E-07,,0,
0.02,94.401052,1.173874,74.17248,-2.229042,71.943438,1.1241162188,-0.0348287813,1.158945,,,422.6513824539,,0.0634022913,,3.53773181295904E-07,,0,
0.021,94.401155,1.173878,74.172561,-2.229122,71.943439,1.1241162344,-0.0348300313,1.1589462656,,,422.6471474162,,0.0634016618,,3.5375459440389E-07,,1.38998084153741E-08,
