Time,Temp,Pressure,KE,U
0.000000,94.404582,1.174031,74.175254,-2.231811
0.050000,94.418403,1.174648,74.186113,-2.242655
0.100000,94.441676,1.175688,74.204399,-2.260918
0.150000,94.474760,1.177165,74.230393,-2.286880
0.200000,94.518164,1.179101,74.264497,-2.320940
0.250000,94.573835,1.180884,74.308239,-2.348285
0.300000,94.645061,1.182418,74.364202,-2.365915
0.350000,94.733476,1.184735,74.433671,-2.397447
0.400000,94.838859,1.188964,74.516473,-2.469372
0.450000,94.963357,1.194263,74.614293,-2.561577
0.500000,95.109047,1.199563,74.728763,-2.648735
0.550000,95.277476,1.206520,74.861101,-2.769193
0.600000,95.473639,1.214483,75.015229,-2.906771
0.650000,95.702073,1.223848,75.194714,-3.069797
0.700000,95.966349,1.236147,75.402360,-3.293614
0.750000,96.271090,1.249460,75.641800,-3.532907
0.800000,96.623616,1.264550,75.918785,-3.804587
0.850000,97.032004,1.282627,76.239663,-4.136226
0.900000,97.503800,1.302746,76.610361,-4.506021
0.950000,98.049088,1.325970,77.038803,-4.939426
1.000000,98.681596,1.352669,77.535775,-5.446468
1.050000,99.416960,1.382747,78.113562,-6.028742
1.100000,100.273324,1.416224,78.786422,-6.694672
1.150000,101.271444,1.452684,79.570661,-7.450090
1.200000,102.431543,1.494554,80.482171,-8.382287
1.250000,103.768541,1.536085,81.532672,-9.416648
1.300000,105.274691,1.574683,82.716080,-10.609114
1.350000,106.880664,1.598089,83.977919,-11.899009
1.400000,108.391588,1.580690,85.165077,-13.094365
1.450000,109.432456,1.486445,85.982904,-13.963502
1.500000,109.390233,1.263284,85.949729,-14.022911
1.550000,106.884768,0.814659,83.981144,-12.258548
1.600000,101.594067,0.091584,79.824151,-7.530446
1.650000,104.496245,0.353917,82.104442,-10.226297
1.700000,112.138929,1.148467,88.109425,-16.477993
1.750000,115.244178,1.496526,90.549272,-18.606148
1.800000,116.626476,1.682501,91.635366,-19.682878
1.850000,116.971139,1.730981,91.906174,-20.024385
1.900000,115.546785,1.566146,90.787035,-18.923930
1.950000,113.191565,1.274489,88.936499,-16.839201
2.000000,112.931923,1.232521,88.732494,-16.770731
2.050000,113.976711,1.334401,89.553402,-17.635366
2.100000,115.168716,1.456043,90.489980,-18.498700
2.150000,116.437476,1.601455,91.486865,-19.623835
2.200000,116.314066,1.578694,91.389900,-19.437092
2.250000,115.532985,1.479382,90.776192,-18.776161
2.300000,114.674015,1.384227,90.101285,-18.258041
2.350000,113.338301,1.218009,89.051792,-17.000695
2.400000,113.867445,1.283407,89.467549,-17.594203
2.450000,115.122081,1.415255,90.453338,-18.548340
2.500000,115.994296,1.514608,91.138652,-19.178388
2.550000,117.099666,1.633176,92.007159,-20.052515
2.600000,118.061497,1.719951,92.762886,-20.883150
2.650000,117.031711,1.600788,91.953766,-20.341033
2.700000,111.684893,1.010716,87.752682,-15.758576
2.750000,111.774230,1.032861,87.822875,-16.128352
2.800000,116.219521,1.484574,91.315614,-19.694927
2.850000,117.750475,1.653040,92.518511,-20.756570
2.900000,118.152687,1.704669,92.834536,-21.010297
2.950000,118.239920,1.711256,92.903076,-21.121755
3.000000,117.308035,1.611193,92.170879,-20.540487
3.050000,114.782209,1.316510,90.186295,-18.264629
3.100000,115.049778,1.342877,90.396528,-18.677379
3.150000,116.752207,1.505372,91.734155,-20.077663
3.200000,116.915715,1.506983,91.862626,-20.045801
3.250000,117.188874,1.536371,92.077252,-20.304133
3.300000,117.657774,1.583424,92.445674,-20.705672
